REG_NUMBER	NUMBER_OF_BRANCHES	STREET_TYPE	STREET_NAME	STREET_NUMBER	STREET_OTHER	ZIP_CODE	TOWN	PROVINCE	COORDINATE_X	COORDINATE_Y	PRECISION	BRANCH_STREET_TYPE	BRANCH_STREET_NAME	BRANCH_STREET_NUMBER	BRANCH_STREET_OTHER	BRANCH_ZIP_CODE	BRANCH_TOWN	BRANCH_PROVINCE	BRANCH_COORDINATE_X	BRANCH_COORDINATE_Y	BRANCH_PRECISION
A07028657	1	CL	BIJUTERS	34	POLIGONO INDUSTRIAL	07760	CIUTADELLA DE MENORCA	ILLES BALEARS	3.844160790	40.004723090	6	PG	INDUSTRIAL	34		07760	TUDONS	ILLES BALEARS	3.930852	40.001029	5
A07029218	1	CL	SIRENAS	17	CALA VINYAS	07184	CALVIA	ILLES BALEARS	2.535604500	39.496211500	1	CL	SIRENAS	17		07181	CALVIA	ILLES BALEARS			
A07031321	1	CL	ANGEL	12	1	07703	MAO	ILLES BALEARS	4.264252000	39.888338000	1	CL	TRAVESSERA DE GRACIA	64	0102	08006	BARCELONA	BARCELONA	2.150503	41.396545	1
A07033863	1	CL	CNO VIE JO DE SON GUITARD CHALET CASA CAROLYN	S/N	CHALET CASA CAROLYN	07340	ALARO	ILLES BALEARS	2.807777166	39.730539941	22	CM	VIEJO DE SON GUITARD	s/n	CHALET CASA CAROLYN	07340	ALARO	ILLES BALEARS			
A07036494	1	CL	ALACANT	30	POLIGONO DE SON BUGADELLES, SANTA	07184	CALVIA	ILLES BALEARS	2.506163400	39.527463400	1	CL	BOULEVARD PUIG DE CASTELLET 1 SANTA PONSA	s/n		07184	CALVIA	ILLES BALEARS			
A07040223	1	AV	PUNTO ES	4	PARQUE CIENTIFICO TECNOLOGICO	28805	ALCALA DE HENARES	MADRID	-3.341692500	40.514324000	1	CL	JOSE ORTEGA Y GASSET	29		28006	MADRID	MADRID			
A07051881	1	CL	TALLERS	45	PR	08001	BARCELONA	BARCELONA	2.167911400	41.384708600	1	CL	TALLERS	45	PR	08001	BARCELONA	BARCELONA			
A07052053	1	VI	PALMA	S/N		07500	MANACOR	ILLES BALEARS	3.210550600	39.577513900	7	VI	PALMA	43		07500	MANACOR	ILLES BALEARS			4
A07054885	5	CR	PALMA ARTA	S/N	KM 30	07230	MONTUIRI	ILLES BALEARS				CL	BARTOMEU ESTARAS MUSIC	33		07170	VALLDEMOSSA	ILLES BALEARS			
A07054885	5	CR	PALMA ARTA	S/N	KM 30	07230	MONTUIRI	ILLES BALEARS				CL	CADENAº	3	AL LADO AYUNTAMIENTO	07001	PALMA DE MALLORCA	ILLES BALEARS			
